Fecha_Hora,Demanda_kW,Factor_Potencia
2024-01-01 00:00:00,32.57,0.881
2024-01-01 00:15:00,32.03,0.794
2024-01-01 00:30:00,32.86,0.802
2024-01-01 00:45:00,33.77,0.799
2024-01-01 01:00:00,32.14,0.78
2024-01-01 01:15:00,32.2,0.815
2024-01-01 01:30:00,34.03,0.814
2024-01-01 01:45:00,33.3,0.811
2024-01-01 02:00:00,32.16,0.887
2024-01-01 02:15:00,33.2,0.801
2024-01-01 02:30:00,32.27,0.755
2024-01-01 02:45:00,32.32,0.777
2024-01-01 03:00:00,33.07,0.858
2024-01-01 03:15:00,30.99,0.839
2024-01-01 03:30:00,31.22,0.893
2024-01-01 03:45:00,32.4,0.854
2024-01-01 04:00:00,31.99,0.779
2024-01-01 04:15:00,33.34,0.768
2024-01-01 04:30:00,32.15,0.828
2024-01-01 04:45:00,31.68,0.85
2024-01-01 05:00:00,34.55,0.775
2024-01-01 05:15:00,32.89,0.84
2024-01-01 05:30:00,33.19,0.88
2024-01-01 05:45:00,31.72,0.859
2024-01-01 06:00:00,32.59,0.85
2024-01-01 06:15:00,33.24,0.868
2024-01-01 06:30:00,31.98,0.766
2024-01-01 06:45:00,33.49,0.781
2024-01-01 07:00:00,33.56,0.756
2024-01-01 07:15:00,35.42,0.772
2024-01-01 07:30:00,36.62,0.887
2024-01-01 07:45:00,41.01,0.783
2024-01-01 08:00:00,40.4,0.916
2024-01-01 08:15:00,39.52,0.919
2024-01-01 08:30:00,42.22,0.915
2024-01-01 08:45:00,40.04,0.905
2024-01-01 09:00:00,42.14,0.899
2024-01-01 09:15:00,39.66,0.892
2024-01-01 09:30:00,40.65,0.942
2024-01-01 09:45:00,42.7,0.851
2024-01-01 10:00:00,43.43,0.855
2024-01-01 10:15:00,42.67,0.899
2024-01-01 10:30:00,42.19,0.883
2024-01-01 10:45:00,41.76,0.891
2024-01-01 11:00:00,40.02,0.95
2024-01-01 11:15:00,40.67,0.928
2024-01-01 11:30:00,40.64,0.938
2024-01-01 11:45:00,42.11,0.887
2024-01-01 12:00:00,38.73,0.874
2024-01-01 12:15:00,36.31,0.927
2024-01-01 12:30:00,38.71,0.931
2024-01-01 12:45:00,37.89,0.905
2024-01-01 13:00:00,39.18,0.94
2024-01-01 13:15:00,41.13,0.947
2024-01-01 13:30:00,42.03,0.897
2024-01-01 13:45:00,42.28,0.872
2024-01-01 14:00:00,40.42,0.902
2024-01-01 14:15:00,41.37,0.949
2024-01-01 14:30:00,42.43,0.879
2024-01-01 14:45:00,43.46,0.912
2024-01-01 15:00:00,41.76,0.919
2024-01-01 15:15:00,42.22,0.871
2024-01-01 15:30:00,41.08,0.909
2024-01-01 15:45:00,40.94,0.881
2024-01-01 16:00:00,43.4,0.935
2024-01-01 16:15:00,43.94,0.921
2024-01-01 16:30:00,41.92,0.933
2024-01-01 16:45:00,43.02,0.87
2024-01-01 17:00:00,41.91,0.853
2024-01-01 17:15:00,40.33,0.935
2024-01-01 17:30:00,41.21,0.889
2024-01-01 17:45:00,42.25,0.868
2024-01-01 18:00:00,37.25,0.764
2024-01-01 18:15:00,37.68,0.827
2024-01-01 18:30:00,31.97,0.773
2024-01-01 18:45:00,34.22,0.835
2024-01-01 19:00:00,31.17,0.859
2024-01-01 19:15:00,30.83,0.83
2024-01-01 19:30:00,31.22,0.886
2024-01-01 19:45:00,29.3,0.773
2024-01-01 20:00:00,30.99,0.824
2024-01-01 20:15:00,31.56,0.774
2024-01-01 20:30:00,32.66,0.881
2024-01-01 20:45:00,30.83,0.89
2024-01-01 21:00:00,30.6,0.81
2024-01-01 21:15:00,30.94,0.796
2024-01-01 21:30:00,32.33,0.792
2024-01-01 21:45:00,31.83,0.879
2024-01-01 22:00:00,31.07,0.852
2024-01-01 22:15:00,32.12,0.882
2024-01-01 22:30:00,31.79,0.768
2024-01-01 22:45:00,32.68,0.821
2024-01-01 23:00:00,31.16,0.851
2024-01-01 23:15:00,31.58,0.885
2024-01-01 23:30:00,31.58,0.807
2024-01-01 23:45:00,30.62,0.797
2024-01-02 00:00:00,32.38,0.887
2024-01-02 00:15:00,32.41,0.757
2024-01-02 00:30:00,32.24,0.822
2024-01-02 00:45:00,32.07,0.819
2024-01-02 01:00:00,30.99,0.772
2024-01-02 01:15:00,32.02,0.809
2024-01-02 01:30:00,32.16,0.858
2024-01-02 01:45:00,31.77,0.805
2024-01-02 02:00:00,32.46,0.796
2024-01-02 02:15:00,33.07,0.867
2024-01-02 02:30:00,34.58,0.898
2024-01-02 02:45:00,32.95,0.867
2024-01-02 03:00:00,33.08,0.877
2024-01-02 03:15:00,32.8,0.891
2024-01-02 03:30:00,31.02,0.87
2024-01-02 03:45:00,32.93,0.897
2024-01-02 04:00:00,33.05,0.862
2024-01-02 04:15:00,35.47,0.849
2024-01-02 04:30:00,32.86,0.854
2024-01-02 04:45:00,33.38,0.885
2024-01-02 05:00:00,33.06,0.852
2024-01-02 05:15:00,31.95,0.864
2024-01-02 05:30:00,34.26,0.782
2024-01-02 05:45:00,33.88,0.887
2024-01-02 06:00:00,33.92,0.817
