Año,Mes,Total_kWh,Total_kVArh,Cargo_Energia,Cargo_Demanda,Total_sin_IVA,Total_con_IVA
2026,1,19483.3389,9356.902900000001,28214.686114999997,16345.519999999999,45192.21862205204,52422.97360158036
2026,2,17637.1651,8502.8652,25544.710594999997,16251.279999999999,42436.754554184765,49226.635282854324
2026,3,20288.245300000002,10530.546299999998,29408.726415,17392.784,47850.463291463624,55506.5374180978
2026,4,20815.2018,12167.0888,29126.79958,16488.752,47444.65477894402,55035.79954357506
2026,5,21150.8915,12064.0297,29578.541435000003,16587.955482550464,47830.76060679079,55483.682303877315
2026,6,20813.648699999998,12161.636299999998,29124.734275,16556.392,47509.144278931846,55110.607363560935
2026,7,21601.3266,12687.2065,30231.78806,16603.816,48732.17080024185,56529.318128280545
2026,8,21152.1455,12101.39,29581.267675,16536.385461045084,47802.56057618878,55450.97026837898
2026,9,20889.647,12266.3594,29236.047819999996,16639.84,47745.52296339252,55384.806637535316
2026,10,20293.713799999998,10575.698099999998,28329.207649999997,15740.519999999999,45118.94557606232,52337.97686823228
2026,11,18838.7573,9021.0217,27282.908575,16289.679999999998,44198.98300212638,51270.82028246659
2026,12,19632.9114,9515.6888,28435.889499999997,16497.464,45587.199748737934,52881.151708536
