Año,Mes,Total_kWh,Total_kVArh,Cargo_Energia,Cargo_Demanda,Total_sin_IVA,Total_con_IVA
2026,1,19483.3389,9356.902900000001,32527.22545,13870.5,46379.26548639775,53799.947964221385
2026,2,17637.1651,8502.8652,29448.44105,13798.88,43237.91064358073,50155.976346553645
2026,3,20288.245300000002,10530.546299999998,33811.7044,14712.580000000002,48932.25672101593,56761.417796378475
2026,4,20815.2018,12167.0888,31957.83671,13739.640000000001,46862.1022063428,54360.03855935765
2026,5,21150.8915,12064.0297,32486.538510000002,13834.636773250331,47324.70799556493,54896.661274855316
2026,6,20813.648699999998,12161.636299999998,31959.899149999997,13801.939999999999,46925.38242524349,54433.44361328245
2026,7,21601.3266,12687.2065,33167.73511,13845.619999999999,48247.52462279078,55967.1285624373
2026,8,21152.1455,12101.39,32488.834870000006,13787.052472175059,47299.912643815805,54867.89866682633
2026,9,20889.647,12266.3594,32076.192519999997,13878.8,47159.662146264265,54705.20808966654
2026,10,20293.713799999998,10575.698099999998,31180.92495,13192.46,44769.51103669597,51932.63280256732
2026,11,18838.7573,9021.0217,31458.461530000008,13825.239999999998,45259.529545706486,52501.05427301952
2026,12,19632.9114,9515.6888,32764.62713,14021.02,46789.594826306005,54275.92999851496
